customer number,start time,end time
CUST001,2024-01-23T12:20:57,2024-01-24T12:20:57
CUST002,2024-01-22T12:20:57,2024-01-24T12:20:57
CUST003,2024-01-21T12:20:57,2024-01-24T12:20:57
CUST004,2024-01-20T12:20:57,2024-01-24T12:20:57
CUST005,2024-01-19T12:20:57,2024-01-24T12:20:57
CUST006,2024-01-18T12:20:57,2024-01-24T12:20:57
CUST007,2024-01-17T12:20:57,2024-01-24T12:20:57
CUST008,2024-01-16T12:20:57,2024-01-24T12:20:57
CUST009,2024-01-15T12:20:57,2024-01-24T12:20:57
CUST010,2024-01-14T12:20:57,2024-01-24T12:20:57
